"MageCheck Extensions","MageCheck - Extensii"
"Bootstrap 3","Bootstrap 3"
"Enable Library","Activeaza Bootstrap"
"Enable Library Theme","Activeaza Tema Bootstrap"
"Configuration Bootstrap Integration (3.3.7)","Configuraza Bootstrap (3.3.7)"
"Enabled","Activat"
"Disabled","Dezactivat"
